vendedor,precio,habitaciones,metros,planta,garage,ascensor,ubicacion,numero_planta,valor_garage,precio_total
Particular,202300,3,72,sin ascensor,False,False,No especificado,,0,202300
Particular,147300,3,74,sin ascensor,False,False,No especificado,,0,147300
Particular,248400,3,108,sin ascensor,False,False,No especificado,,0,248400
Particular,460000,3,91,sin ascensor,False,False,No especificado,,0,460000
Particular,280000,3,70,con ascensor,False,True,No especificado,,0,280000
Particular,149600,3,56,sin ascensor,False,False,No especificado,,0,149600
Particular,216000,3,72,sin ascensor,False,False,No especificado,,0,216000
Particular,219000,3,75,sin ascensor,False,False,No especificado,,0,219000
Particular,264000,3,80,sin ascensor,False,False,No especificado,,0,264000
Particular,316200,3,93,sin ascensor,False,False,No especificado,,0,316200
Particular,499000,3,101,sin ascensor,False,False,No especificado,,0,499000
Particular,129000,3,60,Sótano sin ascensor,False,False,No especificado,,0,129000
Particular,301500,3,131,sin ascensor,False,False,No especificado,,0,301500
Particular,1290000,3,120,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,1290000
